w	EQE	w	EQE
	PBDB-T:F-M 190nm		PBDB-TF-T1:BTP-4F-12 180nm
280	0	280	0
280.5	0	280.5	0
281	0	281	0
281.5	0	281.5	0
282	0	282	0
282.5	0	282.5	0
283	0	283	0
283.5	0	283.5	0
284	0	284	0
284.5	0	284.5	0
285	0	285	0
285.5	0	285.5	0
286	0	286	0
286.5	0	286.5	0
287	0	287	0
287.5	0	287.5	0
288	0	288	0
288.5	0	288.5	0
289	0	289	0
289.5	0	289.5	0
290	0	290	0
290.5	0	290.5	0
291	0	291	0
291.5	0	291.5	0
292	0	292	0
292.5	0	292.5	0
293	0	293	0
293.5	0	293.5	0
294	0	294	0
294.5	0	294.5	0
295	0	295	0
295.5	0	295.5	0
296	0	296	0
296.5	0	296.5	0
297	0	297	0
297.5	0	297.5	0
298	0	298	0
298.5	0	298.5	0
299	0	299	0
299.5	0	299.5	0
300	2.15568	300	0
300.5	2.3263308	300.5	0
301	2.4969816	301	0
301.5	2.6676324	301.5	0
302	2.8382832	302	0
302.5	3.008934	302.5	0
303	3.1795848	303	0
303.5	3.3502356	303.5	0
304	3.5208864	304	0
304.5	3.6915372	304.5	0
305	3.862188	305	0
305.5	4.0328388	305.5	0
306	4.2034896	306	0
306.5	4.3741404	306.5	0
307	4.5447912	307	0
307.5	4.715442	307.5	0
308	4.8860928	308	0
308.5	5.0567436	308.5	0
309	5.2273944	309	0
309.5	5.3980452	309.5	0
310	5.568696	310	9.924336
310.5	5.8835052	310.5	10.4334912
311	6.1983144	311	10.9426464
311.5	6.5131236	311.5	11.4518016
312	6.8279328	312	11.9609568
312.5	7.142742	312.5	12.470112
313	7.4575512	313	12.9792672
313.5	7.7723604	313.5	13.4884224
314	8.0871696	314	13.9975776
314.5	8.4019788	314.5	14.5067328
315	8.716788	315	15.015888
315.5	9.0315972	315.5	15.5250432
316	9.3464064	316	16.0341984
316.5	9.6612156	316.5	16.5433536
317	9.9760248	317	17.0525088
317.5	10.290834	317.5	17.561664
318	10.6056432	318	18.0708192
318.5	10.9204524	318.5	18.5799744
319	11.2352616	319	19.0891296
319.5	11.5500708	319.5	19.5982848
320	11.86488	320	20.10744
320.5	12.495762	320.5	20.994768
321	13.126644	321	21.882096
321.5	13.757526	321.5	22.769424
322	14.388408	322	23.656752
322.5	15.01929	322.5	24.54408
323	15.650172	323	25.431408
323.5	16.281054	323.5	26.318736
324	16.911936	324	27.206064
324.5	17.542818	324.5	28.093392
325	18.1737	325	28.98072
325.5	18.804582	325.5	29.868048
326	19.435464	326	30.755376
326.5	20.066346	326.5	31.642704
327	20.697228	327	32.530032
327.5	21.32811	327.5	33.41736
328	21.958992	328	34.304688
328.5	22.589874	328.5	35.192016
329	23.220756	329	36.079344
329.5	23.851638	329.5	36.966672
330	24.48252	330	37.854
330.5	25.217352	330.5	38.696778
331	25.952184	331	39.539556
331.5	26.687016	331.5	40.382334
332	27.421848	332	41.225112
332.5	28.15668	332.5	42.06789
333	28.891512	333	42.910668
333.5	29.626344	333.5	43.753446
334	30.361176	334	44.596224
334.5	31.096008	334.5	45.439002
335	31.83084	335	46.28178
335.5	32.565672	335.5	47.124558
336	33.300504	336	47.967336
336.5	34.035336	336.5	48.810114
337	34.770168	337	49.652892
337.5	35.505	337.5	50.49567
338	36.239832	338	51.338448
338.5	36.974664	338.5	52.181226
339	37.709496	339	53.024004
339.5	38.444328	339.5	53.866782
340	39.17916	340	54.70956
340.5	39.674934	340.5	55.039986
341	40.170708	341	55.370412
341.5	40.666482	341.5	55.700838
342	41.162256	342	56.031264
342.5	41.65803	342.5	56.36169
343	42.153804	343	56.692116
343.5	42.649578	343.5	57.022542
344	43.145352	344	57.352968
344.5	43.641126	344.5	57.683394
345	44.1369	345	58.01382
345.5	44.632674	345.5	58.344246
346	45.128448	346	58.674672
346.5	45.624222	346.5	59.005098
347	46.119996	347	59.335524
347.5	46.61577	347.5	59.66595
348	47.111544	348	59.996376
348.5	47.607318	348.5	60.326802
349	48.103092	349	60.657228
349.5	48.598866	349.5	60.987654
350	49.09464	350	61.31808
350.5	49.265496	350.5	61.432452
351	49.436352	351	61.546824
351.5	49.607208	351.5	61.661196
352	49.778064	352	61.775568
352.5	49.94892	352.5	61.88994
353	50.119776	353	62.004312
353.5	50.290632	353.5	62.118684
354	50.461488	354	62.233056
354.5	50.632344	354.5	62.347428
355	50.8032	355	62.4618
355.5	50.974056	355.5	62.576172
356	51.144912	356	62.690544
356.5	51.315768	356.5	62.804916
357	51.486624	357	62.919288
357.5	51.65748	357.5	63.03366
358	51.828336	358	63.148032
358.5	51.999192	358.5	63.262404
359	52.170048	359	63.376776
359.5	52.340904	359.5	63.491148
360	52.51176	360	63.60552
360.5	52.376112	360.5	63.488988
361	52.240464	361	63.372456
361.5	52.104816	361.5	63.255924
362	51.969168	362	63.139392
362.5	51.83352	362.5	63.02286
363	51.697872	363	62.906328
363.5	51.562224	363.5	62.789796
364	51.426576	364	62.673264
364.5	51.290928	364.5	62.556732
365	51.15528	365	62.4402
365.5	51.019632	365.5	62.323668
366	50.883984	366	62.207136
366.5	50.748336	366.5	62.090604
367	50.612688	367	61.974072
