wavelength,Quantum efficiency,normalized QE,inflection point
nm,[%],[ ],nm
PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm
280,0,0,712.6
280.5,0,0,712.6
281,0,0,712.6
281.5,0,0,712.6
282,0,0,712.6
282.5,0,0,712.6
283,0,0,712.6
283.5,0,0,712.6
284,0,0,712.6
284.5,0,0,712.6
285,0,0,712.6
285.5,0,0,712.6
286,0,0,712.6
286.5,0,0,712.6
287,0,0,712.6
287.5,0,0,712.6
288,0,0,712.6
288.5,0,0,712.6
289,0,0,712.6
289.5,0,0,712.6
290,0,0,712.6
290.5,0,0,712.6
291,0,0,712.6
291.5,0,0,712.6
292,0,0,712.6
292.5,0,0,712.6
293,0,0,712.6
293.5,0,0,712.6
294,0,0,712.6
294.5,0,0,712.6
295,0,0,712.6
295.5,0,0,712.6
296,0,0,712.6
296.5,0,0,712.6
297,0,0,712.6
297.5,0,0,712.6
298,0,0,712.6
298.5,0,0,712.6
299,0,0,712.6
299.5,0,0,712.6
300,2.15568,0.0291599707815924,712.6
300.5,2.3263308,0.0314683710737765,712.6
301,2.4969816,0.0337767713659606,712.6
301.5,2.6676324,0.0360851716581446,712.6
302,2.8382832,0.0383935719503287,712.6
302.5,3.008934,0.0407019722425128,712.6
303,3.1795848,0.0430103725346969,712.6
303.5,3.3502356,0.0453187728268809,712.6
304,3.5208864,0.047627173119065,712.6
304.5,3.6915372,0.0499355734112491,712.6
305,3.862188,0.0522439737034332,712.6
305.5,4.0328388,0.0545523739956172,712.6
306,4.2034896,0.0568607742878013,712.6
306.5,4.3741404,0.0591691745799854,712.6
307,4.5447912,0.0614775748721695,712.6
307.5,4.715442,0.0637859751643535,712.6
308,4.8860928,0.0660943754565376,712.6
308.5,5.0567436,0.0684027757487217,712.6
309,5.2273944,0.0707111760409058,712.6
309.5,5.3980452,0.0730195763330899,712.6
310,5.568696,0.0753279766252739,712.6
310.5,5.8835052,0.0795864134404675,712.6
311,6.1983144,0.0838448502556611,712.6
311.5,6.5131236,0.0881032870708546,712.6
312,6.8279328,0.0923617238860482,712.6
312.5,7.142742,0.0966201607012418,712.6
313,7.4575512,0.100878597516435,712.6
313.5,7.7723604,0.105137034331629,712.6
314,8.0871696,0.109395471146822,712.6
314.5,8.4019788,0.113653907962016,712.6
315,8.716788,0.11791234477721,712.6
315.5,9.0315972,0.122170781592403,712.6
316,9.3464064,0.126429218407597,712.6
316.5,9.6612156,0.13068765522279,712.6
317,9.9760248,0.134946092037984,712.6
317.5,10.290834,0.139204528853177,712.6
318,10.6056432,0.143462965668371,712.6
318.5,10.9204524,0.147721402483565,712.6
319,11.2352616,0.151979839298758,712.6
319.5,11.5500708,0.156238276113952,712.6
320,11.86488,0.160496712929145,712.6
320.5,12.495762,0.169030679327977,712.6
321,13.126644,0.177564645726808,712.6
321.5,13.757526,0.186098612125639,712.6
322,14.388408,0.19463257852447,712.6
322.5,15.01929,0.203166544923302,712.6
323,15.650172,0.211700511322133,712.6
323.5,16.281054,0.220234477720964,712.6
324,16.911936,0.228768444119795,712.6
324.5,17.542818,0.237302410518627,712.6
325,18.1737,0.245836376917458,712.6
325.5,18.804582,0.254370343316289,712.6
326,19.435464,0.262904309715121,712.6
326.5,20.066346,0.271438276113952,712.6
327,20.697228,0.279972242512783,712.6
327.5,21.32811,0.288506208911614,712.6
328,21.958992,0.297040175310446,712.6
328.5,22.589874,0.305574141709277,712.6
329,23.220756,0.314108108108108,712.6
329.5,23.851638,0.322642074506939,712.6
330,24.48252,0.331176040905771,712.6
330.5,25.217352,0.341116143170197,712.6
331,25.952184,0.351056245434624,712.6
331.5,26.687016,0.36099634769905,712.6
332,27.421848,0.370936449963477,712.6
332.5,28.15668,0.380876552227904,712.6
333,28.891512,0.39081665449233,712.6
333.5,29.626344,0.400756756756757,712.6
334,30.361176,0.410696859021183,712.6
334.5,31.096008,0.42063696128561,712.6
335,31.83084,0.430577063550036,712.6
335.5,32.565672,0.440517165814463,712.6
336,33.300504,0.45045726807889,712.6
336.5,34.035336,0.460397370343316,712.6
337,34.770168,0.470337472607743,712.6
337.5,35.505,0.480277574872169,712.6
338,36.239832,0.490217677136596,712.6
338.5,36.974664,0.500157779401023,712.6
339,37.709496,0.510097881665449,712.6
339.5,38.444328,0.520037983929876,712.6
340,39.17916,0.529978086194302,712.6
340.5,39.674934,0.536684441197955,712.6
341,40.170708,0.543390796201607,712.6
341.5,40.666482,0.550097151205259,712.6
342,41.162256,0.556803506208912,712.6
342.5,41.65803,0.563509861212564,712.6
343,42.153804,0.570216216216216,712.6
343.5,42.649578,0.576922571219868,712.6
344,43.145352,0.583628926223521,712.6
344.5,43.641126,0.590335281227173,712.6
345,44.1369,0.597041636230825,712.6
345.5,44.632674,0.603747991234478,712.6
346,45.128448,0.61045434623813,712.6
346.5,45.624222,0.617160701241782,712.6
347,46.119996,0.623867056245435,712.6
347.5,46.61577,0.630573411249087,712.6
348,47.111544,0.637279766252739,712.6
348.5,47.607318,0.643986121256391,712.6
349,48.103092,0.650692476260044,712.6
349.5,48.598866,0.657398831263696,712.6
350,49.09464,0.664105186267348,712.6
350.5,49.265496,0.666416362308254,712.6
351,49.436352,0.66872753834916,712.6
