Material	LED	Illuminance	Jsc	Jsccal	Voc	FF	Pin	Pout	PCE		
	K	Lux	µA/cm²	µA/cm²	V	%	µW/cm²	µW/cm²	%		
CD1:PBN-10 Ding	LED Ding	200	22		1.07	0.623	72	15	20.4	20.3686388888889	
CD1:PBN-10 Ding	LED Ding	500	54		1.11	0.644	180	39	21.4	21.4452	
CD1:PBN-10 Ding	LED Ding	1000	105		1.14	0.655	360	78	21.7	21.77875	
CD1:PBN-10 Ding	LED Ding	2000	216		1.16	0.664	719	166	23.1	23.139337969402	
CD1:PBN-10 Ding	LED Ding	4000	426		1.18	0.654	1438	323	22.5	22.8618025034771	
CD1:PBN-10 Ding	LED Ding	6000	623		1.19	0.651	2157	484	22.4	22.3751446453408	
CD1:ITIC Ding	LED Ding	200	21		0.73	0.66	72	10	14.1	14.0525	
CD1:ITIC Ding	LED Ding	500	53		0.75	0.672	180	27	14.8	14.84	
CD1:ITIC Ding	LED Ding	1000	107		0.77	0.675	360	56	15.4	15.448125	
CD1:ITIC Ding	LED Ding	2000	207		0.8	0.685	719	119	15.8	15.7769123783032	
CD1:ITIC Ding	LED Ding	4000	418		0.81	0.697	1438	236	16.4	16.4110055632823	
CD1:ITIC Ding	LED Ding	6000	613		0.83	0.683	2157	348	16.1	16.1105039406583	
