Material	LED	Illuminance	Jsc	Jsccal	Voc	FF	Pin	Pout	PCE
	K	Lux	µA/cm²	µA/cm²	V	%	µW/cm²	µW/cm²	%
PBDB-T:F-M 190nm	LED 2700 K	200.5	36.3641		0.7345	0.6105	0	16.8216	0
PBDB-T:F-M 190nm	LED 2700 K	310.6	56.3798		0.7522	0.6177	0	27.0384	0
PBDB-T:F-M 190nm	LED 2700 K	470.5	85.7778		0.7702	0.6334	0	43.1376	0
PBDB-T:F-M 190nm	LED 2700 K	724	131.85		0.7875	0.6353	0	68.112	0
PBDB-T:F-M 190nm	LED 2700 K	1082	192.178		0.8032	0.6435	0	102.4776	0
PBDB-T:F-M 190nm	LED 2700 K	1650	297.383		0.8187	0.6411	0	160.992	0
PBDB-T:F-M 190nm	LED 2700 K	2067.5	372.015		0.8271	0.6399	0	203.304	0
PBDB-T:F-M 190nm	LED 2700 K	7520	1010.36		0.8634	0.6152	0	554.184	0
PBDB-T:F-M 190nm	LED 2700 K	11655	1558.66		0.8767	0.591	0	833.856	0
PBDB-T:F-M 190nm	LED 2700 K	17890	2374.66		0.8905	0.5576	0	1217.76	0
PBDB-T:F-M 190nm	LED 2700 K	27215	3589.41		0.9027	0.5167	0	1723.44	0
PBDB-T:F-M 190nm	LED 2700 K	40970	5288.37		0.9129	0.4785	0	2383.92	0
PBDB-T:F-M 190nm	LED 2700 K	200.5	7754.61		0.923	0.4416	0	3261.12	0
PBDB-T:F-M 190nm	LED 2700 K	310.6	9467.58		0.9274	0.426	0	3859.68	0
PBDB-T:F-M 100nm	LED 2700 K	470.5	32.5033		0.5856	0.3288	0	6.46032	0
PBDB-T:F-M 100nm	LED 2700 K	724	51.221		0.6974	0.3648	0	13.416	0
PBDB-T:F-M 100nm	LED 2700 K	1082	78.2652		0.7561	0.421	0	25.6968	0
PBDB-T:F-M 100nm	LED 2700 K	1650	118.947		0.8008	0.5118	0	50.3616	0
PBDB-T:F-M 100nm	LED 2700 K	2067.5	176.746		0.8219	0.5537	0	82.9728	0
PBDB-T:F-M 100nm	LED 2700 K	7520	260.71		0.8451	0.6131	0	139.32	0
PBDB-T:F-M 100nm	LED 2700 K	11655	335.151		0.8543	0.6336	0	186.792	0
PBDB-T:F-M 100nm	LED 2700 K	17890	940.846		0.8934	0.6983	0	605.784	0
PBDB-T:F-M 100nm	LED 2700 K	27215	1459.1		0.9076	0.7016	0	958.728	0
PBDB-T:F-M 100nm	LED 2700 K	40970	2223.61		0.9217	0.7069	0	1496.4	0
PBDB-T:F-M 100nm	LED 2700 K	61700	3378.36		0.9338	0.7073	0	2301.36	0
PBDB-T:F-M 100nm	LED 2700 K	76905	5031.91		0.9446	0.7041	0	3457.2	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	46.1913043478261	19.4972		0.5842	0.5496	0	6.33835907873276	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	85.6	32.3006		0.6087	0.5868	0	11.6439503842535	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	203.7	71.1124		0.6446	0.6288	0	29.1605018318696	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	436	146.638		0.6734	0.6578	0	65.8136326066501	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	868	196.029		0.6876	0.6644	0	90.7215612547054	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	940	300.732		0.7018	0.6734	0	143.777474309913	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	2057	449.388		0.7182	0.6802	0	222.753833437893	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	4455	949.833		0.745	0.6845	0	490.058433563364	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	9427	1550.98		0.7627	0.6847	0	820.139114021332	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	9482	1979.01		0.768	0.6823	0	1053.0181217064	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	22247	3614.9		0.7886	0.6714	0	1933.9082812108	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	47863	7677.2		0.8093	0.6468	0	4070.32004736513	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	100363	15931.9		0.8267	0.6068	0	8090.01422349438	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	182113	24630.1		0.843	0.5724	0	12048.9573541406	0
PBDB-TF-T1:BTP-4F-12 180nm	LED 2700 K	182113	24586.4		0.8359	0.5776	0	12048.9573541406	0
