w	LED Ding
300	3.8382E-4
301	3.95164E-4
302	3.19535E-4
303	3.57349E-4
304	3.68694E-4
305	3.28988E-4
306	4.04618E-4
307	3.87601E-4
308	3.72475E-4
309	3.27098E-4
310	3.5924E-4
311	3.40333E-4
312	3.23316E-4
313	3.8382E-4
314	3.21425E-4
315	3.74366E-4
316	3.61131E-4
317	3.40333E-4
318	3.70585E-4
319	3.98946E-4
320	3.76257E-4
321	3.11972E-4
322	4.02727E-4
323	3.63022E-4
324	3.68694E-4
325	4.14072E-4
326	3.95164E-4
327	3.38442E-4
328	3.64912E-4
329	4.19744E-4
330	3.34661E-4
331	3.80038E-4
332	3.85711E-4
333	3.66803E-4
334	3.36551E-4
335	3.97055E-4
336	3.5924E-4
337	3.68694E-4
338	3.95164E-4
339	3.76257E-4
340	4.14072E-4
341	3.11972E-4
342	3.70585E-4
343	4.00836E-4
344	3.80038E-4
345	4.44323E-4
346	3.68694E-4
347	3.74366E-4
348	3.89492E-4
349	4.38651E-4
350	4.14072E-4
351	3.95164E-4
352	3.91383E-4
353	4.17853E-4
354	3.93274E-4
355	3.30879E-4
356	4.21635E-4
357	3.63022E-4
358	4.15962E-4
359	4.19744E-4
360	4.23525E-4
361	3.72475E-4
362	4.27307E-4
363	4.1029E-4
364	4.25416E-4
365	4.57559E-4
366	3.81929E-4
367	4.23525E-4
368	4.04618E-4
369	3.91383E-4
370	3.89492E-4
371	3.49787E-4
372	4.19744E-4
373	3.89492E-4
374	4.1029E-4
375	4.06509E-4
376	4.68903E-4
377	4.63231E-4
378	3.98946E-4
379	4.21635E-4
380	4.3676E-4
381	4.65122E-4
382	4.93483E-4
383	4.72685E-4
384	4.6134E-4
385	4.76466E-4
386	4.84029E-4
387	5.08609E-4
388	5.16171E-4
389	4.84029E-4
390	5.82347E-4
391	5.46423E-4
392	5.31297E-4
393	5.01046E-4
394	5.18062E-4
395	4.91592E-4
396	4.78357E-4
397	6.01255E-4
398	5.74784E-4
399	6.73103E-4
400	6.37179E-4
401	7.31716E-4
402	7.37388E-4
403	8.56504E-4
404	8.88647E-4
405	0.00114
406	0.00129
407	0.00156
408	0.00209
409	0.00266
410	0.00349
411	0.00448
412	0.0059
413	0.00779
414	0.00982
415	0.01261
416	0.01549
417	0.0191
418	0.02296
419	0.02763
420	0.03265
421	0.03898
