w	EQE
	PBDB-TF:IT-4F Cui
300	1.57
310	10.43
320	21.42
330	29.71
340	33.03
350	33.88
360	34.05
370	35.43
380	42.35
390	44.3
400	48.5
410	53.77
420	59.48
430	63.79
440	66.08
450	66.77
460	66.63
470	67.01
480	67.7
490	68.65
500	70.9
510	73.71
520	76.8
530	79
540	81.11
550	82.21
560	82.7
570	82.34
580	82.02
590	81.45
600	81
610	80.29
620	79.35
630	78.8
640	78.68
650	79.37
660	80.49
670	81.4
680	82
690	82.16
700	81.64
710	81.58
720	80.94
730	79.88
740	78.43
750	75.74
760	71.54
770	65.95
780	56.29
790	43.62
800	30.14
810	18.09
820	8.25
830	5.48
840	2.77
850	1.55
860	0.85
870	0.49
880	0.23
890	0.17
900	0.07
