w	EQE
	CD1:PBN-10 Ding
300	0
310	4.34
320	11.82
330	18.95
340	24.31
350	29.74
360	35.07
370	42.84
380	50.64
390	57.26
400	62.68
410	63.97
420	63.81
430	63.17
440	62.34
450	61.75
460	61.71
470	60.52
480	58.87
490	59.79
500	61.07
510	63.09
520	65.08
530	66
540	67.18
550	68.13
560	68.68
570	68.87
580	68.49
590	67.85
600	66.81
610	65.71
620	63.88
630	58.64
640	46.3
650	28.29
660	13.01
670	5.09
680	1.85
690	0.78
700	0
710	0
720	0
730	0
740	0
750	0
760	0
770	0
780	0
790	0
800	0
810	0
820	0
830	0
840	0
850	0
860	0
870	0
880	0
890	0
900	0
